What is the name of the affected project or program?,"In which country, region, or territory is the affected project or program located?",In what specific ways does the stop work order impact this project?,What specific data or examples illustrate these impacts?,What organization(s) was/were involved in implementing this project?,What was the approximate funding amount for this project or program?,"What risks, if any, does the halting of your program pose to US national security?","What impacts, if any, does the halting of your program pose to the US economy?"
Biodiversity and Natural Climate Resources,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).","90 million dollars no longer available in adaptive management, evidence and learning, and program design.","USAID, Foundations of Success, World Resources Institute, Notional Opinion Research Center, and Environmental Incentives, Inc. ",$90 million for 5 years,"Weaken ties and connections with countries that have long standing partnerships with the US in the areas of climate, biodiversity and natural resources.","Significantly impact family wellbeing due to lack of income. Families will struggle financially to pay for food, housing, and childcare. The job market will also be flooded with people looking for work and there will be an increase in unemployment. "
USAID,Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Vision for the Amazon and Cerrado cattle climate action,Brazil,"Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).",,The Nature Conservancy,2.4M ,Will weaken conservation with further impacts on extreme weather events,
USAID IDEAS Bicycle Innovation Program  (Choova Njinga Innovation Challenge) ,Zambia,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs.","The challenge award was $2.2 million for bicycle related ideas that improved access to essential services and increased livelihoods in rural Zambia and Malawi. At the time of the stop work order, we had 430 submissions, and were only days away from startingg the assessment process to make the award decisions. ","USAID, DT GLOBAL UK, ENCOMPASS, ITAD,  CHALLENGE WORKS, Prospero Ltd., M-hub",$5 million,No known risks,"We have wasted over $1 million in the discovery and launch phase (Y1) of the challenge, as we will now have to do the process all over again."
"USAID Libya Monitoring, Evaluation, and Learning Activity (LMELA)",Libya,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,"Bixal Solutions, Inc. (US org. - prime) & Moomken Organization For Awareness And Media (Libya CSO, sub)",$5.5 million over 4 years,"Our contract provides third-party monitoring services to all of USAID's activities in Libya, which is a non-permissive environment. This means that USAID staff cannot freely travel to and througout Libya, limiting their oversight over and monitoring of their activities. Without LMELA, there is a higher likelihood of undetected fraud, waste, and misuse of US Government funds. ",I don't know exactly - furlough looking likely for at least 3-5 FTE and PTE American jobs that support our contract
President Malaria Initiative ,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Lack of life saving malaria interventions such as Ira’s and bed nets and stop of critical entomological monitoring ","Over 200 billion infections annually will not be prevented , approx million lives annually will not be saved . ","USAID , cdc , contractors and local agencies ",Annually approximately $150 million ,Will lead to rapid increases in malaria and greater risk of Amari transmission to the US . The project is helping to monitor and contain a new and invasive mosquito species which would be very risky for the US ,Unknown 
"GROWTH project supporting USAID's Democracy, Human Rights, and Governance Bureau",Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Pause on most professional development and training initiatives for USAID's DRG cadre.",,"EnCompass, LLC; USAID",2 million annually,,
Research on the drivers and impacts of internal displacement globally,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Pause of all research activity used for evidence-based programming that is funded under BHA","US funding makes up 25% of our funding, all activities and resources falling under that funding has had to be paused",,,,
Global Innovation through Science and Technology,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",100 science and technology founders will not receive training in 2025.,U.S. Department of State,$3 million annually,Will weaken economic stability in regions where U.S. adversaries are actively working to undermine democracy.,The GIST Initiative opens foreign markets to U.S. business interests. The exact value in dollars is difficult to calculate. 
Mental health ,Ethiopia,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs., Mental health service ",Thousands torture survivors ,CVT,Unknown ,"Will aggravated and weaken the affected community, hindered thier resilience",
Basic education project,Nigeria,Children unable to access education or literacy programs.,Reading programs will be halted in six states; governments will not receive technical assistance on systems strengthening ,USAID and contractors ,10 million annually ,,
MOMENTUM Knowledge Accelerator,Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Reduced access to clean water or sanitation infrastructure., Women and girls losing access to economic or social empowerment programs.",,"USAID, Population Reference Bureau, JSI, Ariadne Labs","29.7 million (over 6.5 years of project, we are on year 6)","Could create public health emergencies that easily spread to the US; removing US aid will also lead to deteriorating quality of life in many countries, leading to increased attempts at immigration to the US and other countries (exactly what the admin doesn't want)",
MHPSS,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Mental health services",,USAID,2.2 million,It affects the torture survivors and their security and put them in risk,
Inclusive Development Activity for Mission Support (IDAMS),Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.","This project was working to improve humanitarian and development assistance for persons with disabilities in humanitarian emergencies, and for women and girls with disabilities in Jamaica.  It was oriented to inform new USAID programming that would directly serve persons with disabilities and older adults so that they could access life saving assistance during and after humanitarian crises, and for the work in Jamaica, so that women and girls with disabilities could access livelihoods opportunities appropriate for them.  As a result of the SWO, persons with disabilities and older adults will continue struggling to access life saving humanitarian assistance, while girls and women with disabilities in Jamaica will continue to be shut out of livelihoods opportunities they need to survive.",USAID,unknown,"It will reduce good will toward the US, opening the door for greater reliance on China and Russia.  ",It puts dozens of individuals out of work in the US. 
Education Support Initiative 2 (ESI 2),United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,"Dexis, Zemitek ",Unknown,Will weaken the quality of our education foreign assistance programs,Decrease in institutional knowledge and staffing for USAID through institutional support contractors
Many projects. I provide technical and proposal support to NGOs.,Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs., Marginalized populations (LGBTQ+, ethnic minorities) all exponentially more vulnerable with the US president messaging that DEIA and gender equity are ideologies and harmful. The ramifications are enormous.",,"Many many local organizations. U.S. primes: The Cluster Competitivess Group, Blue Alliance, Mathematica, Chemonics International, IFDC, CollaborateUp, ECODIT, Athena Infonomics, DevWorks International, Institute for Sustainable Communities, Winrock, DAI, Creative Associates, ZemiTek, Vistant, Counterpart International, WI-HER, Dexis, Nathan Associates, Social Impact, CNFA, Macfadden, Palladium, RTI, Cardno International Development, EnCompass, Pact, NewPath, ADRA",n/a,"Very harmful messaging about governance processes, disregard for democracy, rule of law, checks and balances, respect for a country's constitution. Marginalized populations (LGBTQ+, ethnic minorities) all exponentially more vulnerable with the US president messaging that DEIA and gender equity are ideologies and harmful. The ramifications are enormous. Weakened relationships in critical geographic areas where we need strong diplomatic relations: LAC, Central Asia, theIndo-Pacific, Africa",This is not really an appropriate question - it poses an undue burden on respondents who are already facing many other tasks. It makes it appear as if you have a lack of understanding of what is done in foreign aid and may deter respondents from completing your survey.
Welcome Corps,United States of America,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).",Thousands of approved and vetted refugees not being able to be admitted in the IS and many more not being processed.,USRAP,$5 million annually ,"This will cause a ripple impact and direct threat on refugee lives, especially those prosecuted for seeking asylum which will testily in desperate measures and possible extremism.",Decrease admission of many skilled labor. 
Local Works ,Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs.",,USAID,100 million ,We will lose the bi-national relationships built to empower local actors to lead their own development and reduce irregular migration. ,
MHPSS FOR CONFLICT AFFECTED POPULATION,Ethiopia,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs., No access to mental health service and No crisis response due to loss of all the above",4000 thousend people loss mental health support,USAID,Unknown ,Will weaken the resilience to our adverseries,Decrease in economy 
"HIV, STIs, TB prevention ",South Africa,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants).",Over 2200000 clients on ART won't get quality of care,Usaid ,Over 5million dillars,Not sure,Not sure 
Environment and energy support services ,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., We support USAID staff to do their programming directly. So not sure of the immediate impact but stopping us stops USAID staff from being able to do their work","Ended research on usaid’s role in addressing Ecuador’s energy crisis, laying off expert consultants with firsthand knowledge of key solutions. (Just one example of programs we support)","Environmental Incentives, Fundacion Futuro Latino Americano","Approx $200,000. My example but in is one of about a dozen under this contract. ",Our contract helps try to make communities more resilient. Already we hear that partners are looking to other donors or even China to fill the void. They have lost trust in the United States government. ,"A hundred people at my company lost their jobs today. That’s almost all of us. We won’t be able to pay rent next month, we’re ending our lease, we’re cancelling subscriptions and minimizing expenses in the local economy. "
Mental Health ,Ethiopia,Mental Health ,We have so many clients  who have need for mental  health  at this time its bad news for them because  of the stop working  order   ,USAID,Unknown ,We do have so many needle  for mental  health  service  at this  time we can't  afforded it ,
HIV prevention ,Kenya,"Lives at risk (e.g., due to healthcare or food insecurity)., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.","70,000 Adolescent girls and young women at risk of HIV infection, at least 15000 missing on school fees support, 10,000 will not report to college as assessed",USAID,Over 5million USD annually,"Reduce community resilience against HIV, GBV and Unintended pregnancies ",
CSM Stand,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs., loss of independent media and journalist support around the world",Loss of support and closure of local media offices on 4 continents. At least 30 million people will lose access to credible and reliable information. Thousands will lose critical support to their civil society organizations providing a plethora of social services.,"IREX, Pact, Aga KhanFoundation, ICNL, The Asia Foundation, Sonke Gender Justice, AfriLabs, Fundacion Gabo, Makaia, Omdena, Moonshot, and hundreds of local partners",112 million thus far - cieling of $452 million,"Will weaken community resilience to our adversaries’ disinformation efforts; Will weaken US influence over the information space in Africa, Europe, Central America, and the Caribbean.  ","Will cause significant financial harm to US project staff decreasing total purchasing power of at least 30 US staff
"
Malaria ,Kenya,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Women and girls losing access to economic or social empowerment programs., Delayed infrastructure projects (e.g., roads, energy access, or housing).",A,Usaid,Millions ,Loosing lives,Na
MOMENTUM  Routine Immunization Transformation and Equity,Global,"Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Decrease in building health systems work and knowledge sharing",,USAID,3 mil annually for my specific team,,
Country Health Information Systems and Data Use (CHISU),Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Government (Ministry of Health) health information systems will lose support",,USAID,$200 million over 5-year contract,"Will weaken health information systems in 20+ countries around the world, therefore impacting delivery of health services for countless populations.",
Syria Growing Agriculture and Incomes,Syrian Arab Republic,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).",,"Global Communities, Acute Incite",unknown,"This could further destabilize Syria, making it more vulnerable to extremist organizations which could act against the US and further destabilize the region.",
Mental Health trauma informed training and physiotherapy   ,Ethiopia,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",1000  and more clients affects ,USAID-CVT,UNKOWN ,disinformation efforts.,7000000
Refugee Reception & Placement Program,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Refugees resettled in the United States not getting support they were promised such as housing, food, cultural orientation, case management, and employment.","388 refugees who have arrived in the United States in the last 90 days will not get basic needs assistance, case management, and self-sufficiency support.","Bureau of Population, Refugees, and Migration",Approximately $3 million annually,,
Market Systems Development,Ghana,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,ACDI VOCA,$5 million annually,Opinion and trust of US from programme implementers and beneficiaries has plummeted.,
Sanitation and Hygiene Access Project ,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Reduced access to clean water or sanitation infrastructure.",5 USAID projects will not be supplied and supported with sanitation and hygiene products and technical assistance ,LIXIL,$7.5M over 5 years,,"Will lead to decrease in purchase of sanitation and hygiene products, loss of income for local distributors and retailers, loss of income for women sales staff"
USAID's light for our future mental health and physiotherapy services for survivors of trauma and torture,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants).","In my area of activity, a region in Ethiopia called Tigray there are more than half a million IDPs in which majority of them has experinced traumatic events with significant symptoms of traumatic stress,mental health will not receive MHPSS services affecting the overall mental health of the community that inturn, will lead to worsening of the current state.",The center for Victims of Torture (CVT) project funded by USAID,Not sure but around $3.5 million annually,"Might weaken the USA's reputation in the eyes of the developing countries, will weaken the diplomatic and economical relations of USA with other countries and international organizations ultimately it will affect the USA 's influence and strength in the world politics and economy. ",Will lead to decrease in USA goods purchase.
"CPS Bureau Institutional Support Contract and Related CPS Projects, incl. GFA",Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,"USAID, IOM, German & Dutch Gov’ts",,Will allow violent extremism and conflict to propagate unchecked in Coastal West Africa and other GFA countries,Loss of 28 jobs (technically furloughed) on this GSV contract
Casa Frida Refugio LGBT,Mexico,"Lives at risk (e.g., due to healthcare or food insecurity)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Reduced access to clean water or sanitation infrastructure.","500+ migrants will not be supported and safely housed, while supporting their visa processes in Mexico (aiming to PREVENT them from reaching the US border).","IOM, State Dept, Internews, Pan-American Development Fund (PADF)","$200,000",Migrants who would otherwise have been involved in the program will continue to the abused by traffickers and will be 80% more likely to reach the US border and attempt to seek asylum in the USA. ,N/A
BPRM ,Bangladesh,"Lives at risk (e.g., due to healthcare or food insecurity)., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs.",Disabilities are affected.  Losses jobs. ,HI,Unknown ,Losses job around 1 lac people. Servuce stop for disability ,It will big impact 
Training & Leadership Development Unit at the Bureau of Humanitarian Assistance USAId ,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).",,USAID ,,,
DEVELOP,Global,"Children unable to access education or literacy programs., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Trauma and war wounded survivors invluding GBV survivors.,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Specialized mental health setvices","8 Specialized MHPSd services for GBV survivors, war wounded clients, and affected communities  ",USAID,Unknown,Healing lights and hope insatllation processes to recover disrupted,Good will
USAID Contract ,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",Entire team is told to stop work. Potentially will all be furloughed without pay ,USAID contracting firm ,Obligated contract for 5 years ,"Unsure,m",Over 45 staff furloughed. Majority will need to collect unemployment if unpaid during furlough 
SBA Community Advantage Loan Program,United States of America,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Women and girls losing access to economic or social empowerment programs.","In 2024, CDFIs deployed $194 million in financing to small businesses in the US under the SBA Community Advantage Loan program. This helped maintained and created hundreds of thousands of jobs in the US - primarily targeting women-owned businesses, veteran-owned businesses, BIPOC-owned businesses, and businesses located in LMI communities - communities that often cannot get access to financing through traditional sources, such as a bank. ",CDC Small Business Finance under the SBA,$194 million in 2024,"Will significantly weaken the US economy, will potentially contribute to significant job losses, will hamper job creation, will slow innovation, and more. Approximately 50% of all US GDP growth is accounted for via small businesses in the US, which would be impacted through the loss or diminishing of SBA loan programs.",See above.
Free HIV/AIDS medication,Malawi,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).",3 million people ,USAID,Unknown,Increased death from HIV/AIDS patience due to defaulting ,
"Conflict, Violence Prevention, and Peacebuilding programming",Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs.",,USAID and EnCompass LLC,unknown,,
BHA Technical Staff,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,,,,
Community Led Monitoring on HIV/AIDS,Rwanda,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants).",more than 26 millions are going to suffer from loosing ARV sercives,UNAIDS,unknown ,will weak the ARV clients' Adherence ,unknown 
USAID ISC for Private Sector Engagement Contract,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,,,,
USAID-funded Family Planning Website Redesign,United States of America,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",Millions of beneficiaries impacted as national family planning programs are denied critical resources.,USAID,Unknown,None direct,N/A
Millennium Challenge Corporation- Small Business Support,Lesotho,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",50 small businesses in Lesotho won’t receive their investments and strategic growth and marketing training ,MCC,"$300,000 annually ",,"Two Americans, my colleague and I, have lost 100% of our income and  risk not being able to pay our bills in 2-3 months. "
LPSE Global Good,Burkina Faso,"Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",Le ministère de la santé du Burkina et ses partenaires ne bénéficieront pas de l'appui technique nécessaire pour l'atteinte de la modernisation et l'amélioration de la santé des populations a travers le digital ,USAID,Inconnu ,Cela affaiblir a la résilience de la communauté aux efforts ,
