Site Name,Site Type,Latitude,Longitude,Country,Country ISO3,Site Area (m2),Waste in Place (tons),Emissions: Modeled (tons CH4/year),Emissions Uncertainty: Modeled (tons CH4/year),Emissions Source: Modeled,Emissions: Satellite (tons CH4/year),Emissions Uncertainty: Satellite (tons CH4/year),Emissions Source: Satellite,Site Area (m2),Waste in Place Year,Site Open Year,Site Close Year,Site Status,Climate TRACE ID,GHGRP ID,Most Recent Plume Filename
"Rumpke Slf, Inc.",Sanitary Landfill,39.2745,-84.59822,United States,USA,61704868.25,68019346.0,9206.17,,Climate TRACE,0.0,0.0,Carbon Mapper,61704868.25,2021,1945.0,2058.0,Open,1835960839,1004856.0,GAO20220722t161649p0000-D_l3a-ch4-mf-v1_plume.tif
"Rajarathinam Colony, Cmwssb Division 37, Ward 37, Zone 4 Tondiarpet, Chennai, Chennai District, Tamil Nadu, 600001, India",Dumpsites,13.137487038937492,80.26958850803717,India,IND,38925380.39,2017130.095,32063.39865,,Climate TRACE,,,,38925380.39,2021,,,,1835960702,,
Anderson Regional Landfill,Sanitary Landfill,34.5752,-82.458,United States,USA,7136942.48,403751.0,9199.13,,Climate TRACE,,,,7136942.48,2021,,,,1835960840,,
Candles,Sanitary Landfill,52.6665713373768,-2.50054836273193,United Kingdom,GBR,17586674.87,1014862.686,31198.92758,,Climate TRACE,,,,17586674.87,2021,,,,1835960703,,
Horry County Swa Landfill,Sanitary Landfill,33.8158,-78.9609,United States,USA,7112408.052,271570.0,9170.84,,Climate TRACE,,,,7112408.052,2021,,,,1835960841,,
Eagle Point Landfill Llc,Sanitary Landfill,34.325556,-84.240833,United States,USA,17674485.45,19482925.0,30919.3,,Climate TRACE,1934.4404750700003,1312.13180955,Carbon Mapper,17674485.45,2021,2002.0,2033.0,Open,1835960704,1003710.0,GAO20220922t153602p0000-A_l3a-ch4-mf-v1_plume.tif
Rumpke/Montgomery County Lf,Sanitary Landfill,37.9506,-83.9529,United States,USA,5383545.99,292617.0,9167.41,,Climate TRACE,,,,5383545.99,2021,,,,1835960842,,
Djebel Chakir,Sanitary Landfill,36.7398282607712,10.0712998956441,Tunisia,TUN,16645267.26,1067224.036,30601.13785,,Climate TRACE,,,,16645267.26,2021,,,,1835960705,,
"Stones Throw Landfill, Llc",Sanitary Landfill,32.5154,-85.8311,United States,USA,6493431.629,270441.9,9154.95,,Climate TRACE,,,,6493431.629,2021,,,,1835960843,,
Bandeirantes,Sanitary Landfill,-23.42216056,-46.75544142,Brazil,BRA,30000000.0,2000000.0,29000.54102,,Climate TRACE,,,,30000000.0,2021,,,,1835960706,,
Tunnel Hill Reclamation Landfill,Sanitary Landfill,39.735838,-82.158251,United States,USA,12789450.18,1680642.36,9125.44,,Climate TRACE,,,,12789450.18,2021,,,,1835960844,,
Ctr Candeias Landfill,Sanitary Landfill,-8.1633097297228,-34.9851036071777,Brazil,BRA,10601696.24,872893.0661,28787.7187,,Climate TRACE,,,,10601696.24,2021,,,,1835960707,,
Pike Sanitation Lf,Sanitary Landfill,39.08577,-82.96376,United States,USA,5428835.11,5984336.0,9085.54,,Climate TRACE,31610.3920224,9301.6318512,Carbon Mapper,5428835.11,2021,1987.0,2057.0,Open,1835960845,1006383.0,GAO20220722t153736p0000-A_l3a-ch4-mf-v1_plume.tif
Redvale Landfill,Sanitary Landfill,-36.6582213522309,174.626940898597,New Zealand,NZL,15424878.34,827967.482,28689.04538,,Climate TRACE,,,,15424878.34,2021,,,,1835960708,,
Clint Landfill,Sanitary Landfill,31.594183,-106.173361,United States,USA,10486608.3,488419.0,9072.68,,Climate TRACE,,,,10486608.3,2021,,,,1835960846,,
Hampton Downs Landfill,Sanitary Landfill,-37.3713354356628,175.05938373506,New Zealand,NZL,34155423.63,818729.3511,28368.94445,,Climate TRACE,,,,34155423.63,2021,,,,1835960709,,
Columbia Ridge Lf,Sanitary Landfill,45.639234,-120.217237,United States,USA,58394421.78,2555590.2,9054.56,,Climate TRACE,,,,58394421.78,2021,,,,1835960847,,
Ockendon,Sanitary Landfill,51.5287440850486,0.312509536743164,United Kingdom,GBR,15735445.94,908035.0353,27914.82994,,Climate TRACE,,,,15735445.94,2021,,,,1835960710,,
"Sanayi Cd., İsmetpaşa Mahallesi, Dikili, Izmir, Aegean Region, 35980, Turkey",Dumpsites,39.073329703755434,26.90685111407139,Turkey,TUR,6994401.076,392404.2559,9047.474199,,Climate TRACE,,,,6994401.076,2021,,,,1835960848,,
Rabat Disposal Site,Sanitary Landfill,33.8722061,-6.8096566,Morocco,MAR,8633613.898,973045.5743,27900.70383,,Climate TRACE,,,,8633613.898,2021,,,,1835960711,,
Rhea County Lf,Sanitary Landfill,35.56,-84.912,United States,USA,5606770.167,262009.0,8962.35,,Climate TRACE,,,,5606770.167,2021,,,,1835960849,,
Bower,Sanitary Landfill,-31.5584249,-64.23500061,Argentina,ARG,12148104.0,840437.1595,27717.33386,,Climate TRACE,,,,12148104.0,2021,,,,1835960712,,
Skyline Lf,Sanitary Landfill,32.549,-96.68,United States,USA,26809240.46,1694273.7,8938.83,,Climate TRACE,,,,26809240.46,2021,,,,1835960850,,
Estrutural,Dumpsites,-15.765128,-48.001059,Brazil,BRA,36002264.89,2169254.707,26989.1118,,Climate TRACE,,,,36002264.89,2021,,,,1835960713,,
"Aïn Témouchent, El Amria, El Amria District, 46006, Algeria, Site 1",Dumpsites,35.50512916930957,-0.998917556184251,Algeria,DZA,7564380.244,618740.6781,8870.756346,,Climate TRACE,,,,7564380.244,2021,,,,1835960851,,
Pitsea,Sanitary Landfill,51.5385947941685,0.522022247314453,United Kingdom,GBR,14809831.47,854621.2097,26272.78112,,Climate TRACE,,,,14809831.47,2021,,,,1835960714,,
"Çöplük Yolu, 8 Kasım Mahallesi, Lüleburgaz, Kırklareli, Marmara Region, 39750, Turkey",Dumpsites,41.37660486735727,27.352127479519417,Turkey,TUR,6785598.887,380689.9051,8777.382107,,Climate TRACE,,,,6785598.887,2021,,,,1835960852,,
Kimble Sanitary Lf,Sanitary Landfill,40.51139,-81.54137,United States,USA,16876023.48,18602835.0,25386.4,,Climate TRACE,17246.831491136,4987.213211307999,Carbon Mapper,16876023.48,2021,1960.0,2040.0,Open,1835960715,1004399.0,GAO20220909t171414p0000-A_l3a-ch4-mf-v1_plume.tif
"Çandarlı Mahallesi, Dikili, Izmir, Aegean Region, 35980, Turkey",Dumpsites,38.94925021837112,26.936995292704324,Turkey,TUR,6778130.405,380270.9037,8767.721395,,Climate TRACE,,,,6778130.405,2021,,,,1835960853,,
Deonar,Dumpsites,19.072319,72.926774,India,IND,26042082.76,1572463.242,24995.17305,,Climate TRACE,,,,26042082.76,2021,,,,1835960716,,
Payatas,Dumpsites,14.714258,121.106758,Philippines,PHL,12552645.34,505787.6669,8762.762813,,Climate TRACE,,,,12552645.34,2021,,,,1835960854,,
Jardim Gramacho,Dumpsites,-22.7489058,-43.2589781,Brazil,BRA,60000000.0,3838715.38,24578.13526,,Climate TRACE,,,,60000000.0,2021,,,,1835960717,,
Monmouth County Reclamation Center,Sanitary Landfill,40.245,-74.115,United States,USA,18870033.36,380409.2,8727.3,,Climate TRACE,,,,18870033.36,2021,,,,1835960855,,
Malagrotta Landfill,Sanitary Landfill,41.854731,12.338613,Italy,ITA,19889508.35,1733750.0,24444.67456,,Climate TRACE,,,,19889508.35,2021,,,,1835960718,,
Huntsville Mswlf,Sanitary Landfill,34.6885,-86.592,United States,USA,11588475.48,383399.0,8627.45,,Climate TRACE,,,,11588475.48,2021,,,,1835960856,,
"Kanjurmarg East, Zone 6, Mumbai, Mumbai Metropolitan Region, Thane, Mumbai Suburban, Maharashtra, 400059, India",Dumpsites,19.12538652244609,72.95175376301363,India,IND,28735158.85,1489068.395,23669.56584,,Climate TRACE,,,,28735158.85,2021,,,,1835960719,,
"Sewage Treatment Plant, Nh751, Bhavnagar, Bhavnagar Taluka, Bhavnagar District, Gujarat, 364001, India",Dumpsites,21.79697211518435,72.09247399713671,India,IND,10443394.74,541181.245,8602.375249,,Climate TRACE,,,,10443394.74,2021,,,,1835960857,,
Lucas Heights,Sanitary Landfill,-34.0400359733186,150.967651605606,Australia,AUS,9745846.4,663990.6585,23007.25396,,Climate TRACE,,,,9745846.4,2021,,,,1835960720,,
Arbor Hills Landfill Inc.,Sanitary Landfill,42.40684,-83.55579,United States,USA,63598193.16,70105317.0,8549.91,,Climate TRACE,549.6269104800001,175.93576554,Carbon Mapper,63598193.16,2021,1970.0,2028.0,Open,1835960858,1008034.0,GAO20210815t155200p0000-A_l3a-ch4-mf-v1_plume.tif
Apex Sanitary Landfill,Sanitary Landfill,40.435,-80.91,United States,USA,20726254.41,22847163.0,22934.65,,Climate TRACE,2151.9505979428573,509.6761087085714,Carbon Mapper,20726254.41,2021,2005.0,2037.0,Open,1835960721,1006777.0,GAO20220909t165024p0000-C_l3a-ch4-mf-v1_plume.tif
Cherry Island Landfill,Sanitary Landfill,39.7308,-75.52,United States,USA,15570437.14,402298.5,8532.39,,Climate TRACE,,,,15570437.14,2021,,,,1835960859,,
Wallgrove Road Landfill,Sanitary Landfill,-33.8143425896753,150.863257348537,Australia,AUS,9613913.064,655001.9572,22695.79576,,Climate TRACE,,,,9613913.064,2021,,,,1835960722,,
Saltillo Sanitary Landfill,Sanitary Landfill,25.4579223669204,-101.053619384765,Mexico,MEX,4753378.615,258280.688,8518.009917,,Climate TRACE,,,,4753378.615,2021,,,,1835960860,,
Legajny,Sanitary Landfill,53.81717293,20.625844,Poland,POL,1600000.0,1600000.0,22558.89217,,Climate TRACE,,,,1600000.0,2021,,,,1835960723,,
Johr Al Deek,Dumpsites,31.45755,34.45923,Palestine,PSE,5423478.293,592656.2248,8496.788967,,Climate TRACE,,,,5423478.293,2021,,,,1835960861,,
La Duquesa,Dumpsites,18.560897,-69.968022,Dominican Republic,DOM,28185336.59,1366564.487,22534.41777,,Climate TRACE,,,,28185336.59,2021,,,,1835960724,,
Jefferson County Lf No. 1,Sanitary Landfill,33.711,-86.873,United States,USA,5470352.649,6030109.0,8432.84,,Climate TRACE,10016.94751219111,3234.5913877368894,Carbon Mapper,5470352.649,2021,1982.0,2060.0,Open,1835960862,1004014.0,GAO20220929t174523p0000-A_l3a-ch4-mf-v1_plume.tif
Brevard County Central Disposal Facility,Sanitary Landfill,28.3971,-80.8296,United States,USA,21224772.08,943981.0,22196.21,,Climate TRACE,,,,21224772.08,2021,,,,1835960725,,
"Franklin County Sanitary Landfill, OH",Sanitary Landfill,39.84,-83.11,United States,USA,25456069.89,1131932.58,8426.86,,Climate TRACE,,,,25456069.89,2021,,,,1835960863,,
"Avenida Capitan Zafrane, Parroquia Los Tacariguas, Municipio Girardot, Aragua State, 1203, Venezuela",Dumpsites,10.237612707374808,-67.64723509529188,"Venezuela, RB",VEN,20886789.48,1336307.333,22035.48242,,Climate TRACE,,,,20886789.48,2021,,,,1835960726,,
Coffee County Sanitary Landfill,Sanitary Landfill,31.507053,-86.000975,United States,USA,4056023.231,232817.24,8386.03,,Climate TRACE,,,,4056023.231,2021,,,,1835960864,,
Gaoantun,Sanitary Landfill,39.9440085,116.6151194,China,CHN,11775011.28,635121.4995,22006.93857,,Climate TRACE,,,,11775011.28,2021,,,,1835960727,,
Belgrade,Sanitary Landfill,44.7853175,20.5953019,Serbia,SRB,12259091.73,270167.1299,8305.482931,,Climate TRACE,,,,12259091.73,2021,,,,1835960865,,
Santa Marta,Sanitary Landfill,-33.6972611,-70.79863889,Chile,CHL,11120284.58,664150.3407,21903.45407,,Climate TRACE,,,,11120284.58,2021,,,,1835960728,,
Simi Valley Lf,Sanitary Landfill,34.29454,-118.79544,United States,USA,31868616.34,35129489.0,8301.07,,Climate TRACE,1501.8535572,942.8711068800001,Carbon Mapper,31868616.34,2021,1970.0,2062.0,Open,1835960866,1007816.0,GAO20201111t180024p0000-A_l3a-ch4-mf-v1_plume.tif
Borg El Arab,Sanitary Landfill,30.9165847129,29.45503234863,"Egypt, Arab Rep.",EGY,10010558.27,738052.5838,21162.61262,,Climate TRACE,,,,10010558.27,2021,,,,1835960729,,
West Daviess County Landfill,Sanitary Landfill,37.667,-87.28,United States,USA,5524758.226,369078.0,8235.72,,Climate TRACE,,,,5524758.226,2021,,,,1835960867,,
"Bintulu, Sarawak, 97300, Malaysia",Dumpsites,3.250787408242509,113.10275041863682,Malaysia,MYS,18544937.32,811379.3605,21085.70064,,Climate TRACE,,,,18544937.32,2021,,,,1835960730,,
Naucalpan Landfill,Sanitary Landfill,19.4951552724829,-99.3004355436924,Mexico,MEX,3582524.186,249688.4138,8234.639614,,Climate TRACE,,,,3582524.186,2021,,,,1835960868,,
Pbcswa Rrf Site #7,Sanitary Landfill,26.763,-80.137436,United States,USA,17711633.97,645343.1593,20891.15,,Climate TRACE,,,,17711633.97,2021,,,,1835960731,,
Charles M Hinton Jr Regional Landfill,Sanitary Landfill,32.959,-96.543,United States,USA,7708606.841,597698.0,8221.14,,Climate TRACE,,,,7708606.841,2021,,,,1835960869,,
Abu Zaabal,Sanitary Landfill,30.2815280698483,31.3609027862548,"Egypt, Arab Rep.",EGY,10910135.94,708530.4804,20316.10811,,Climate TRACE,,,,10910135.94,2021,,,,1835960732,,
Sharra Landfill,Sanitary Landfill,41.2967919100556,19.7607618570327,Albania,ALB,4628072.334,267069.128,8210.2441,,Climate TRACE,,,,4628072.334,2021,,,,1835960870,,
Environmental Complex Norte Iii C Module,Sanitary Landfill,-34.5239543249044,-58.6151075363159,Argentina,ARG,15150901.46,614954.0191,20280.97599,,Climate TRACE,,,,15150901.46,2021,,,,1835960733,,
Riverview Land Preserve,Sanitary Landfill,42.15621,-83.21208,United States,USA,22061187.96,24318405.0,8185.93,,Climate TRACE,3917.81260632,922.9463046720001,Carbon Mapper,22061187.96,2021,1968.0,2031.0,Open,1835960871,1003601.0,GAO20220917t170029p0000-A_l3a-ch4-mf-v1_plume.tif
Santiago Poniente,Sanitary Landfill,-33.5257611,-70.869875,Chile,CHL,10590901.46,614954.0191,20280.97599,,Climate TRACE,,,,10590901.46,2021,,,,1835960734,,
Gordon County Redbone Ridges Lf,Sanitary Landfill,34.510557,-84.765811,United States,USA,4567052.245,312886.2056,8132.36,,Climate TRACE,,,,4567052.245,2021,,,,1835960872,,
Ctr-Pe,Sanitary Landfill,-7.71080277778,-34.9453888889,Brazil,BRA,5221308.463,614954.0191,20280.97599,,Climate TRACE,,,,5221308.463,2021,,,,1835960735,,
Pine Tree Acres Lf Inc.,Sanitary Landfill,42.7649,-82.7456,United States,USA,45167165.0,49788724.0,8131.06,,Climate TRACE,359.19516264,251.5143831257143,Carbon Mapper,45167165.0,2021,1987.0,2039.0,Open,1835960873,1007745.0,GAO20220915t161125p0000-A_l3a-ch4-mf-v1_plume.tif
Brent Run Landfill,Sanitary Landfill,43.176846,-83.838258,United States,USA,15961672.34,251894.36,20221.82,,Climate TRACE,,,,15961672.34,2021,,,,1835960736,,
Chatsworth Blue Haze,Sanitary Landfill,50.8656967443572,-1.83235645294189,United Kingdom,GBR,4581791.611,264398.4367,8128.141659,,Climate TRACE,,,,4581791.611,2021,,,,1835960874,,
Elizabeth Drive Landfill,Sanitary Landfill,-33.863731,150.758192,Australia,AUS,8474649.044,577383.1813,20006.30779,,Climate TRACE,,,,8474649.044,2021,,,,1835960737,,
"Oued Ennil, El Bouni, El Bouni District, Annaba, 23204, Algeria",Dumpsites,36.8187231504321,7.623012362898076,Algeria,DZA,6930616.508,566900.9515,8127.540973,,Climate TRACE,,,,6930616.508,2021,,,,1835960875,,
Getlini,Sanitary Landfill,56.8859864211379,24.2639923095703,Latvia,LVA,16982571.12,640965.9073,19704.58584,,Climate TRACE,,,,16982571.12,2021,,,,1835960738,,
"Parroquia Los Tacariguas, Municipio Girardot, Aragua State, 1203, Venezuela",Dumpsites,10.238041745577377,-67.6451425425795,"Venezuela, RB",VEN,7662184.967,490215.788,8083.575616,,Climate TRACE,,,,7662184.967,2021,,,,1835960876,,
Albion,Sanitary Landfill,52.7547887454115,-1.5358543395996,United Kingdom,GBR,11107373.6,640965.9073,19704.58584,,Climate TRACE,,,,11107373.6,2021,,,,1835960739,,
Caldwell Lf,Sanitary Landfill,39.686,-85.723,United States,USA,7384289.8,593015.8,8081.66,,Climate TRACE,,,,7384289.8,2021,,,,1835960877,,
Blydenburgh Road Landfill,Sanitary Landfill,40.814,-73.1806,United States,USA,7257480.0,293248.8542,19252.51031,,Climate TRACE,,,,7257480.0,2021,,,,1835960740,,
La Chureca,Dumpsites,12.165855,-86.303315,Nicaragua,NIC,11353495.61,489685.6078,8074.833035,,Climate TRACE,,,,11353495.61,2021,,,,1835960878,,
North Central Landfill,Sanitary Landfill,28.02389,-81.847245,United States,USA,17809120.94,19631287.0,18681.81,,Climate TRACE,0.0,0.0,Carbon Mapper,17809120.94,2021,1977.0,2023.0,Open,1835960741,1006859.0,GAO20220411t152717p0000-A_l3a-ch4-mf-v1_plume.tif
"Parroquia La Concepción, Municipio Jesús Enrique Lossada, Zulia State, Venezuela, Site 1",Dumpsites,10.622744871596868,-71.78617100016623,"Venezuela, RB",VEN,7635778.839,488526.3612,8055.717254,,Climate TRACE,,,,7635778.839,2021,,,,1835960879,,
Bordo Poniente,Dumpsites,19.452996,-99.016299,Mexico,MEX,40000000.0,2559143.587,18554.13714,,Climate TRACE,,,,40000000.0,2021,,,,1835960742,,
American Environmental Landfill,Sanitary Landfill,36.158803,-96.190532,United States,USA,9767087.172,840365.0,8050.96,,Climate TRACE,,,,9767087.172,2021,,,,1835960880,,
Black Warrior Solid Waste Facility,Sanitary Landfill,33.24314,-87.66585,United States,USA,7237642.417,7978193.0,18082.81,,Climate TRACE,3384.140750372571,1190.6431714525716,Carbon Mapper,7237642.417,2021,1997.0,2037.0,Open,1835960743,1004245.0,GAO20220929t192117p0000-A_l3a-ch4-mf-v1_plume.tif
Whitford Landfill,Sanitary Landfill,-36.9389863931224,174.992714747786,New Zealand,NZL,8236367.737,230953.2725,8002.523117,,Climate TRACE,,,,8236367.737,2021,,,,1835960881,,
Noble Road Lf,Sanitary Landfill,40.97586,-82.48737,United States,USA,16053648.29,17696328.0,17767.8,,Climate TRACE,2166.1244082999997,464.247390316,Carbon Mapper,16053648.29,2021,1997.0,2038.0,Open,1835960744,1004850.0,GAO20220915t170925p0000-C_l3a-ch4-mf-v1_plume.tif
"Batey Alemán, San Pedro De Macorís, Dominican Republic, Site 1",Dumpsites,18.481105165822825,-69.23339647411994,Dominican Republic,DOM,7504877.206,480151.4593,7917.616534,,Climate TRACE,,,,7504877.206,2021,,,,1835960882,,
Olinda Alpha Slf,Sanitary Landfill,33.93361,-117.84361,United States,USA,82242708.03,90657406.0,17619.69,,Climate TRACE,1144.243982111613,485.5205526255483,Carbon Mapper,82242708.03,2021,1960.0,2036.0,Open,1835960745,1002320.0,GAO20211111t204045p0000-A_l3a-ch4-mf-v1_plume.tif
Lockwood Regional Lf,Sanitary Landfill,39.494,-119.615,United States,USA,41692380.67,1191265.1,7871.19,,Climate TRACE,,,,41692380.67,2021,,,,1835960883,,
Gaoyan,Sanitary Landfill,26.63574962,106.8029236,China,CHN,6100506.656,502843.0126,17423.49346,,Climate TRACE,,,,6100506.656,2021,,,,1835960746,,
Brooks Landfill,Sanitary Landfill,37.76,-97.39,United States,USA,9740998.728,78731.84,7855.19,,Climate TRACE,,,,9740998.728,2021,,,,1835960884,,
"Tekeler Mahallesi, Adapazarı, Sakarya, Marmara Region, Turkey",Dumpsites,40.84510247197547,30.38570943448555,Turkey,TUR,13449826.56,754570.5665,17397.76679,,Climate TRACE,,,,13449826.56,2021,,,,1835960747,,
